,pca_0,pca_1,pca_2,cluster,name,max_tfidf_value,word_of_max_tfidf
0,-0.04596479094934357,0.0151128561837202,-0.0025624656992318776,3,aid1252_description.txt,0.45787111104945544,heat
1,0.22636392369771774,0.49538844265071125,0.30500843787655674,4,aid280_description.txt,0.4205163121459945,amelanotic
2,-0.018436999550044096,-0.021418226382613235,0.007098423598861178,3,aid2429_description.txt,0.3002486457871217,dehydrogenase
3,0.8199094884364714,-0.20737789767594378,-0.29167132247818645,5,aid55_description.txt,0.45505606001165166,concentration
4,0.04167049585913279,0.001995364099179832,0.00515902012147508,3,aid549_description.txt,0.30852071002279446,mevalonate
5,-0.11877180219444416,0.04227662140000493,-0.13908635952170462,1,aid2117_description.txt,0.41823313887944524,rora
6,0.026206987761448274,-0.046629106865363354,0.017044037413836484,3,aid2286_description.txt,0.35700845004831283,fusion
7,-0.05942570488846225,0.004317661172511556,-0.023625356880483048,3,aid1834_description.txt,0.5683502637118674,kruppellike
8,-0.07927523504855848,-0.01806406872311426,0.019724394489356922,3,aid748_description.txt,0.49658204617785173,bclb
9,-0.0478835726556012,0.0507772997768595,-0.030418854647974742,3,aid1802_description.txt,0.4946052574923429,focal
10,0.27581224963001505,0.6007025509399659,0.36507917968231723,4,aid268_description.txt,0.48257146321733835,lymphosarcoma
11,-0.06367589695750309,0.06196305756939197,-0.08072642126561168,3,aid871_description.txt,0.6971231528186079,stat
12,0.002243257048133103,-0.013925741686549586,-0.023933984697979784,3,aid672_description.txt,0.4455934913273319,cysteine
13,-0.04079510947210679,-0.05885815369088592,0.0683613818230055,3,aid1771_description.txt,0.42039709773540357,adpglo
14,0.1553130778479039,0.028407689724423646,0.027188457317119587,3,aid770_description.txt,0.2629506882917965,colon
15,-0.05769849411419227,-0.013552296353608643,0.04654924312611909,3,aid1231_description.txt,0.4070663675250931,chloromaleimide
16,-0.02945303197350101,-0.011597437093348829,0.017552994262520324,3,aid2318_description.txt,0.5049570966758727,toxin
